Step,Time,TOTAL,Volume,Area,Angle,Length,Repulsion,Adhesion,Boundary
102870,3.68001,337.532,0.0134678,52.4826,79.9722,204.706,0.356981,0,0
104072,3.70002,337.68,0.0136299,52.5277,79.7832,205.058,0.296689,0,0
105158,3.72001,337.899,0.0146708,52.5306,79.601,205.395,0.357196,0,0
106201,3.74,338.159,0.0140592,52.5311,79.4539,205.745,0.414623,0,0
107238,3.76001,338.214,0.012953,52.5586,79.2864,206.055,0.301279,0,0
108360,3.78,338.648,0.0133499,52.5575,79.1188,206.343,0.615834,0,0
109463,3.80002,338.429,0.0134478,52.5242,78.9904,206.589,0.312528,0,0
110428,3.82001,338.769,0.0120559,52.5074,78.9901,206.776,0.482735,0,0
111446,3.84002,338.927,0.0118651,52.4764,79.0133,206.946,0.479382,0,0
112446,3.86,339.075,0.0117143,52.4694,79.0871,207.07,0.437019,0,0
113267,3.88001,339.363,0.0117004,52.4616,79.1147,207.254,0.520437,0,0
114126,3.9,339.436,0.011755,52.486,79.0759,207.424,0.438465,0,0
115062,3.92,339.616,0.01207,52.5159,78.9796,207.652,0.455892,0,0
115891,3.94,339.759,0.0118924,52.5365,78.8994,207.897,0.414408,0,0
116833,3.96001,339.863,0.0114586,52.5668,78.7259,208.163,0.395663,0,0
117784,3.98002,339.906,0.0125,52.5912,78.5369,208.399,0.36656,0,0
118693,4,340.047,0.0131406,52.5944,78.3879,208.63,0.42077,0,0
119604,4.02001,340.174,0.0125615,52.5864,78.3024,208.845,0.427628,0,0
120402,4.04,340.45,0.0128635,52.5663,78.262,209.075,0.533359,0,0
121139,4.06002,340.507,0.0142975,52.5838,78.1768,209.177,0.554723,0,0
121949,4.08001,340.438,0.0145681,52.5754,78.1495,209.182,0.516689,0,0
122953,4.10001,340.366,0.0136592,52.5369,78.169,209.129,0.517559,0,0
124055,4.12001,340.174,0.0120608,52.5108,78.2429,209.108,0.300613,0,0
125132,4.14001,340.553,0.0108282,52.4772,78.4106,209.202,0.452351,0,0
126068,4.16,340.662,0.0105084,52.5264,78.4313,209.336,0.358397,0,0
126962,4.18,340.732,0.0101785,52.5599,78.3888,209.417,0.356004,0,0
127851,4.20001,340.794,0.0106335,52.5487,78.3812,209.471,0.382273,0,0
128752,4.22,340.818,0.0106185,52.521,78.3958,209.468,0.422259,0,0
129644,4.24002,340.872,0.0114502,52.5145,78.3547,209.562,0.429419,0,0
130510,4.26001,340.682,0.0127236,52.5387,78.2304,209.587,0.312688,0,0
131413,4.28,340.618,0.0131828,52.5743,78.1131,209.645,0.27178,0,0
132194,4.30002,340.52,0.0128282,52.5694,78.1055,209.589,0.243023,0,0
133025,4.32001,340.755,0.0110973,52.5149,78.3416,209.424,0.463068,0,0
133777,4.34002,340.499,0.0122723,52.4789,78.4663,209.298,0.244406,0,0
134513,4.36,340.532,0.0121855,52.4707,78.5558,209.198,0.295211,0,0
135213,4.38001,340.502,0.0137836,52.4705,78.5936,209.05,0.373685,0,0
136037,4.4,340.454,0.0134705,52.5221,78.6394,208.849,0.430065,0,0
137043,4.42,340.281,0.0124685,52.5816,78.5352,208.795,0.356618,0,0
138015,4.44001,340.157,0.0130854,52.6574,78.3386,208.817,0.331127,0,0
139044,4.46001,340.223,0.0130958,52.6713,78.3374,208.776,0.42578,0,0
139814,4.48001,339.917,0.0135034,52.6939,78.279,208.697,0.233528,0,0
140542,4.50001,339.911,0.013111,52.7073,78.1982,208.623,0.368744,0,0
141246,4.52003,339.563,0.0133374,52.7218,78.1726,208.402,0.253252,0,0
142072,4.54001,339.253,0.0131289,52.7193,78.1155,208.157,0.247536,0,0
143060,4.56002,339.111,0.0142101,52.6933,78.0383,207.902,0.463127,0,0
143935,4.58001,338.517,0.013984,52.3557,77.8982,207.964,0.284845,0,0
144916,4.6,338.336,0.0119708,52.3227,77.7719,207.749,0.480938,0,0
146012,4.62001,338.001,0.0106434,52.3472,77.6942,207.634,0.314502,0,0
146913,4.64002,337.778,0.0123368,52.3213,77.5879,207.462,0.393935,0,0
147901,4.66001,337.451,0.0104978,52.2629,77.6335,207.164,0.380446,0,0
